time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0,0272582;1,27494;4,99334;
0,0272682;1,273;4,96728;
0,0272782;1,26959;4,92162;
0,0272882;1,26471;4,85654;
0,0272982;1,2584;4,77229;
0,0273082;1,25067;4,66921;
0,0273182;1,24155;4,54769;
0,0273282;1,23108;4,40824;
0,0273382;1,21931;4,25138;
0,0273482;1,20627;4,07775;
0,0273582;1,19202;3,88802;
0,0273682;1,17662;3,68295;
0,0273782;1,16012;3,46334;
0,0273882;1,14259;3,23007;
0,0273982;1,12411;2,98405;
0,0274082;1,10474;2,72625;
0,0274182;1,08456;2,45769;
0,0274282;1,06365;2,17943;
0,0274382;1,04209;1,89257;
0,0274482;1,01997;1,59825;
0,0274582;0,997369;1,29761;
0,0274682;0,974386;0,991855;
0,0274782;0,951107;0,682184;
0,0274882;0,927624;0,369821;
0,0274982;0,904031;0,0559987;
0,0275082;0,88042;-0,258045;
0,0275182;0,856884;-0,57107;
0,0275282;0,833517;-0,881841;
0,0275382;0,810409;-1,18913;
0,0275482;0,787654;-1,49173;
0,0275582;0,76534;-1,78844;
0,0275682;0,743555;-2,07809;
0,0275782;0,722386;-2,35955;
0,0275882;0,701916;-2,63168;
0,0275982;0,682226;-2,89344;
0,0276082;0,663394;-3,14377;
0,0276182;0,645493;-3,3817;
0,0276282;0,628594;-3,60628;
0,0276382;0,612765;-3,81663;
0,0276482;0,598068;-4,01192;
0,0276582;0,58456;-4,19137;
0,0276682;0,572295;-4,35428;
0,0276782;0,561322;-4,50001;
0,0276882;0,551683;-4,62798;
0,0276982;0,543417;-4,73768;
0,0277082;0,536556;-4,82869;
0,0277182;0,531128;-4,90064;
0,0277282;0,527153;-4,95324;
0,0277382;0,524648;-4,9863;
0,0277482;0,523622;-4,99969;
0,0277582;0,52408;-4,99334;
0,0277682;0,52602;-4,96728;
0,0277782;0,529433;-4,92162;
0,0277882;0,534308;-4,85654;
0,0277982;0,540623;-4,77229;
0,0278082;0,548355;-4,66921;
0,0278182;0,557472;-4,54769;
0,0278282;0,56794;-4,40824;
0,0278382;0,579716;-4,25138;
0,0278482;0,592754;-4,07775;
0,0278582;0,607003;-3,88802;
0,0278682;0,622406;-3,68295;
0,0278782;0,638903;-3,46334;
0,0278882;0,656428;-3,23007;
0,0278982;0,674913;-2,98405;
0,0279082;0,694284;-2,72625;
0,0279182;0,714465;-2,45769;
0,0279282;0,735376;-2,17943;
0,0279382;0,756936;-1,89257;
0,0279482;0,779057;-1,59825;
0,0279582;0,801654;-1,29761;
0,0279682;0,824638;-0,991855;
0,0279782;0,847917;-0,682184;
0,0279882;0,871399;-0,369821;
0,0279982;0,894993;-0,0559987;
0,0280082;0,918604;0,258045;
0,0280182;0,94214;0,57107;
0,0280282;0,965507;0,881841;
0,0280382;0,988615;1,18913;
0,0280482;1,01137;1,49173;
0,0280582;1,03368;1,78844;
0,0280682;1,05547;2,07809;
0,0280782;1,07664;2,35955;
0,0280882;1,09711;2,63168;
0,0280982;1,1168;2,89344;
0,0281082;1,13563;3,14377;
0,0281182;1,15353;3,3817;
0,0281282;1,17043;3,60628;
0,0281382;1,18626;3,81663;
0,0281482;1,20096;4,01192;
0,0281582;1,21447;4,19137;
0,0281682;1,22673;4,35428;
0,0281782;1,2377;4,50001;
0,0281882;1,24734;4,62798;
0,0281982;1,25561;4,73768;
0,0282082;1,26247;4,82869;
0,0282182;1,2679;4,90064;
0,0282282;1,27187;4,95324;
0,0282382;1,27438;4,9863;
0,0282482;1,2754;4,99969;
0,0282582;1,27495;4,99334;
0,0282682;1,27301;4,96728;
0,0282782;1,26959;4,92162;
0,0282882;1,26472;4,85654;
0,0282982;1,2584;4,77229;
0,0283082;1,25067;4,66921;
0,0283182;1,24155;4,54769;
0,0283282;1,23109;4,40824;
0,0283382;1,21931;4,25138;
0,0283482;1,20627;4,07775;
0,0283582;1,19202;3,88802;
0,0283682;1,17662;3,68295;
0,0283782;1,16012;3,46334;
0,0283882;1,1426;3,23007;
